phase	kind	file	line	target	change	text
p003	build	platform/sparcv9/vmunix.mk	100	libc/strto.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c libc/int64.c libc/strto.c \
p003	build	platform/sparcv9/vmunix.mk	101	libc/format.c	path	libc/format.c libc/stdio.c $(ZEDBSD_LIBC_USER_EXTRA_SOURCES) \
p003	build	platform/sparcv9/vmunix.mk	101	libc/stdio.c	path	libc/format.c libc/stdio.c $(ZEDBSD_LIBC_USER_EXTRA_SOURCES) \
p003	build	platform/sparcv9/vmunix.mk	137	libc/	path	$(BUILD)/kernel/libc/%.o: libc/%.c
p003	build	platform/sparcv9/vmunix.mk	309	libc/heap.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c libc/int64.c libc/strto.c \
p003	build	platform/sparcv9/vmunix.mk	309	libc/string.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c libc/int64.c libc/strto.c \
p003	build	platform/sparcv9/vmunix.mk	309	libc/ctype.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c libc/int64.c libc/strto.c \
p003	build	platform/sparcv9/vmunix.mk	309	libc/locale.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c libc/int64.c libc/strto.c \
p003	build	platform/sparcv9/vmunix.mk	309	libc/wide.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c libc/int64.c libc/strto.c \
p003	build	platform/sparcv9/vmunix.mk	309	libc/int64.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c libc/int64.c libc/strto.c \
p003	build	platform/sparcv9/vmunix.mk	309	libc/strto.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c libc/int64.c libc/strto.c \
p003	build	platform/sparcv9/vmunix.mk	310	libc/format.c	path	libc/format.c libc/stdio.c $(ZEDBSD_LIBC_USER_EXTRA_SOURCES)
p003	build	platform/sparcv9/vmunix.mk	310	libc/stdio.c	path	libc/format.c libc/stdio.c $(ZEDBSD_LIBC_USER_EXTRA_SOURCES)
p003	build	platform/sparcv9/vmunix.mk	358	libc/math.c	path	$(SPARCV9_DYNAMIC_LIBM_OBJ): libc/math.c src/softfloat/zed-softfloat.h
p003	build	platform/sparcv9/vmunix.mk	363	libc/float-parse.c	path	$(SPARCV9_DYNAMIC_FLOAT_PARSE_OBJ): libc/float-parse.c \
p003	build	platform/x68k/vmunix.mk	38	libc/	path	# The generic softfloat host executable links target libc/softfloat objects.
p003	build	platform/x68k/vmunix.mk	58	libc/heap.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c \
p003	build	platform/x68k/vmunix.mk	58	libc/string.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c \
p003	build	platform/x68k/vmunix.mk	58	libc/ctype.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c \
p003	build	platform/x68k/vmunix.mk	58	libc/locale.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c \
p003	build	platform/x68k/vmunix.mk	58	libc/wide.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c \
p003	build	platform/x68k/vmunix.mk	59	libc/int64.c	path	libc/int64.c libc/strto.c libc/format.c libc/stdio.c \
p003	build	platform/x68k/vmunix.mk	59	libc/strto.c	path	libc/int64.c libc/strto.c libc/format.c libc/stdio.c \
p003	build	platform/x68k/vmunix.mk	59	libc/format.c	path	libc/int64.c libc/strto.c libc/format.c libc/stdio.c \
p003	build	platform/x68k/vmunix.mk	59	libc/stdio.c	path	libc/int64.c libc/strto.c libc/format.c libc/stdio.c \
p003	build	platform/x68k/vmunix.mk	203	libc/	path	$(BUILD)/kernel/libc/%.o: libc/%.c
p003	build	src/softfloat/softfloat.mk	37	libc/float-parse.c	path	$(ZEDBSD_FLOAT_PARSE_OBJECT): libc/float-parse.c \
p003	build	src/softfloat/softfloat.mk	44	libc/math.c	path	$(ZEDBSD_LIBM_OBJECT): libc/math.c src/softfloat/zed-softfloat.h
p003	build	src/softfloat/softfloat.mk	66	libc/fenv.c	path	src/softfloat/zed-softfloat.c src/softfloat/zed-softfloat.h libc/fenv.c
p003	build	src/softfloat/softfloat.mk	71	libc/fenv.c	path	libc/fenv.c -o $@
p003	build	src/softfloat/softfloat.mk	78	libc/float-parse.c	path	libc/float-parse.c src/softfloat/zed-softfloat.c \
p003	build	src/softfloat/softfloat.mk	79	libc/fenv.c	path	src/softfloat/zed-softfloat.h libc/fenv.c
p003	build	src/softfloat/softfloat.mk	83	libc/float-parse.c	path	tests/float-parse-host-test.c libc/float-parse.c \
p003	build	src/softfloat/softfloat.mk	84	libc/fenv.c	path	src/softfloat/zed-softfloat.c libc/fenv.c -o $@
p003	build	src/softfloat/softfloat.mk	90	libc/math.c	path	$(BUILD)/tests/math-host-test: tests/math-host-test.c libc/math.c \
p003	build	src/softfloat/softfloat.mk	91	libc/fenv.c	path	src/softfloat/zed-softfloat.c src/softfloat/zed-softfloat.h libc/fenv.c
p003	build	src/softfloat/softfloat.mk	94	libc/math.c	path	-Ilibc/include -Iinclude -I. tests/math-host-test.c libc/math.c \
p003	build	src/softfloat/softfloat.mk	95	libc/fenv.c	path	src/softfloat/zed-softfloat.c libc/fenv.c -o $@
p003	build	src/softfloat/softfloat.mk	104	libc/fenv.c	path	src/softfloat/zed-softfloat.h libc/fenv.c
p003	build	src/softfloat/softfloat.mk	109	libc/fenv.c	path	src/softfloat/zed-softfloat.c libc/fenv.c -o $@
p003	c-include	libc/heap.c	8	libc/heap.h	keep-root .->src	#include "libc/heap.h"
p003	c-include	libc/locale-db.c	8	libc/locale-db.h	keep-root .->src	#include "libc/locale-db.h"
p003	c-include	libc/locale.c	12	libc/stdio-internal.h	keep-root .->src	#include "libc/stdio-internal.h"
p003	c-include	libc/locale.c	13	libc/locale-db.h	keep-root .->src	#include "libc/locale-db.h"
p003	c-include	libc/regex/regcomp.c	39	libc/regex/tre.h	keep	#include "tre.h"
p003	c-include	libc/regex/regexec.c	41	libc/regex/tre.h	keep	#include "tre.h"
p003	c-include	libc/regex/tre-mem.c	42	libc/regex/tre.h	keep	#include "tre.h"
p003	c-include	libc/stdio.c	16	libc/stdio-internal.h	keep-root .->src	#include "libc/stdio-internal.h"
p003	c-include	libc/stdlib-extra.c	12	libc/heap.h	keep-root .->src	#include "libc/heap.h"
p003	c-include	libc/string.c	8	libc/heap.h	keep-root .->src	#include "libc/heap.h"
p003	c-include	libc/wide.c	12	libc/stdio-internal.h	keep-root .->src	#include "libc/stdio-internal.h"
p003	c-include	src/kern/entry.c	22	libc/heap.h	keep-root .->src	#include "libc/heap.h"
p003	c-include	src/kern/locale-record.c	12	libc/locale-db.h	keep-root .->src	#include "libc/locale-db.h"
p003	c-include	userland/base/libc/posix.c	15	libc/heap.h	keep-root .->src	#include "libc/heap.h"
p003	c-include	userland/base/libc/posix.c	16	libc/stdio-internal.h	keep-root .->src	#include "libc/stdio-internal.h"
p003	docs	docs/reference/tls.md	18	libc/	path	libc/rtldの私有ABIはversion 5。ABI v4のバイナリ互換を提供せず、成果物を再構築する。
p003	plan-tests	plan/ws004/tests/README.md	678	libc/heap.c	path	-c libc/heap.c -o /tmp/ws004-heap.o
p003	plan-tests	plan/ws004/tests/q009-hwt12-evidence.md	51	libc/heap.c	path	to `remove_free()` in `libc/heap.c`. Disassembly identifies the faulting
p003	plan-tests	plan/ws004/tests/qemu-usb-root-evidence.md	97	libc/	path	corruption. q010 proved the unlocked libc/kernel heap lock-domain mismatch,
p003	plan-tests	plan/ws006/tests/usb-hid-guest-probe.c	573	libc/	path	/* Verifies actual libc/kernel PTY identity, not a mock console ioctl. */
p003	plan-tests	plan/ws014/tests/run-venus-remote.py	105	libc/string.c	path	'include/drivers/gpu-share.h', 'libc/include/errno.h', 'libc/include/stddef.h', 'libc/string.c',
p003	plan-tests	plan/ws035/tests/kernel-include-audit.py	17	libc/	path	libc-internal  libc/<file> (src/libc/<file> after p003), private libc headers
p003	plan-tests	plan/ws035/tests/kernel-include-audit.py	70	libc/	path	if src.startswith("libc/") or src.startswith("src/libc/"):
p003	plan-tests	plan/ws035/tests/kernel-include-audit.py	90	libc/	path	# after p003 the private libc headers are src/libc/*; before, libc/*
p003	plan-tests	plan/ws035/tests/kernel-include-audit.py	93	libc/	path	if p.startswith("libc/"):
p003	plan-tests	plan/ws035/tests/refactor-refs.py	10	libc/	path	p003  libc/* (not libc/include)          -> src/libc/*
p003	plan-tests	plan/ws035/tests/refactor-refs.py	140	libc/	path	elif f.startswith("libc/"):
p003	plan-tests	plan/ws035/tests/refactor-refs.py	279	libc/	path	if d == "libc" and not name.startswith("libc/"):
p003	plan-tests	plan/ws035/tests/refactor-refs.py	374	libc/regex/	path	"libc/include": "p023", "libc/regex": "p003",
p003	plan-tests	plan/ws035/tests/refactor-refs.py	378	libc/	path	# 'libc/' alone (e.g. libc/%.c, libc/*.c) belongs to p003
p003	plan-tests	plan/ws035/tests/refactor-refs.py	466	libc/	path	if "libc/" not in line and "include/" not in line:
p003	plan-tests	plan/ws035/tests/refactor-refs.py	568	libc/	path	"p003": "p003: `libc/` のsource → `src/libc/`",
p003	plan-tests	plan/ws035/tests/refactor-refs.py	595	libc/	path	lines += ["", "ディレクトリ単位の参照（`-Ilibc/include`、`libc/%.c` など）:", "",
p003	plan-tests/include	plan/ws002/tests/heap-trace-validator.c	12	libc/heap.c	keep-root .->src	#include "libc/heap.c"
p003	plan-tests/include	plan/ws004/tests/kernel-heap-lock-test.c	9	libc/heap.h	keep-root .->src	#include "libc/heap.h"
p003	source-text	libc/heap.h	29	libc/	path	* instance; the active instance exists only for libc/Noct compatibility.
p003	sysroot	toolchain/llvm/sysroot.mk	34	libc/heap.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c \
p003	sysroot	toolchain/llvm/sysroot.mk	34	libc/string.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c \
p003	sysroot	toolchain/llvm/sysroot.mk	34	libc/ctype.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c \
p003	sysroot	toolchain/llvm/sysroot.mk	34	libc/locale.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c \
p003	sysroot	toolchain/llvm/sysroot.mk	34	libc/wide.c	path	libc/heap.c libc/string.c libc/ctype.c libc/locale.c libc/wide.c \
p003	sysroot	toolchain/llvm/sysroot.mk	35	libc/int64.c	path	libc/int64.c libc/strto.c libc/format.c libc/stdio.c \
p003	sysroot	toolchain/llvm/sysroot.mk	35	libc/strto.c	path	libc/int64.c libc/strto.c libc/format.c libc/stdio.c \
p003	sysroot	toolchain/llvm/sysroot.mk	35	libc/format.c	path	libc/int64.c libc/strto.c libc/format.c libc/stdio.c \
p003	sysroot	toolchain/llvm/sysroot.mk	35	libc/stdio.c	path	libc/int64.c libc/strto.c libc/format.c libc/stdio.c \
p003	sysroot	toolchain/llvm/sysroot.mk	41	libc/math.c	path	libc/math.c libc/float-parse.c
p003	sysroot	toolchain/llvm/sysroot.mk	41	libc/float-parse.c	path	libc/math.c libc/float-parse.c
p023	build	Makefile	495	libc/include/	path	-I$(BUILD) -Ilibc/include $(ZEDBSD_CONFIG_CPPFLAGS)
p023	build	libc/libc.mk	59	libc/include/	path	-I$(BUILD) -Ilibc/include
p023	build	platform/amd64/vmunix.mk	757	libc/include/	path	$(CC) -nostdinc -Ilibc/include -Iinclude -I. $(DYNAMIC_CFLAGS) \
p023	build	platform/amd64/vmunix.mk	763	libc/include/	path	$(CC) -nostdinc -Ilibc/include -Iinclude -I. $(DYNAMIC_CFLAGS) \
p023	build	platform/amd64/vmunix.mk	769	libc/include/	path	$(CC) -nostdinc -Ilibc/include -Iinclude -I. $(DYNAMIC_CFLAGS) \
p023	build	platform/arm64/vmunix.mk	14	libc/include/	path	-Ilibc/include -Isrc/hal/arm64 -DHAL_ARCH_ARM64 -DHAL_BOARD_RPI4 \
p023	build	platform/arm64/vmunix.mk	79	libc/include/	path	-Ilibc/include -DHAL_ARCH_ARM64 -DKERN_USER_ABI_AARCH64 \
p023	build	platform/arm64/vmunix.mk	290	libc/include/	path	DYNAMIC_CPPFLAGS := -nostdinc -I. -Iinclude -Ilibc/include \
p023	build	platform/arm64/vmunix.mk	338	libc/include/	path	$(ARM64_CC) -nostdinc -Ilibc/include -Iinclude -I. \
p023	build	platform/arm64/vmunix.mk	342	libc/include/	path	$(ARM64_CC) -nostdinc -Ilibc/include -Iinclude -I. \
p023	build	platform/arm64/vmunix.mk	346	libc/include/	path	$(ARM64_CC) -nostdinc -Ilibc/include -Iinclude -I. \
p023	build	platform/arm64/vmunix.mk	351	libc/include/	path	$(ARM64_CC) -nostdinc -Ilibc/include -Iinclude -I. \
p023	build	platform/arm64/vmunix.mk	356	libc/include/	path	$(ARM64_CC) -nostdinc -Ilibc/include -Iinclude -I. \
p023	build	platform/arm64/vmunix.mk	360	libc/include/	path	$(ARM64_CC) -nostdinc -Ilibc/include -Iinclude -I. \
p023	build	platform/pc98/vmunix.mk	539	libc/include/	path	$(CC) -nostdinc -Ilibc/include -Iinclude -I. $(DYNAMIC_CFLAGS) \
p023	build	platform/pc98/vmunix.mk	545	libc/include/	path	$(CC) -nostdinc -Ilibc/include -Iinclude -I. $(DYNAMIC_CFLAGS) \
p023	build	platform/pc98/vmunix.mk	550	libc/include/	path	$(CC) -nostdinc -Ilibc/include -Iinclude -I. $(DYNAMIC_CFLAGS) \
p023	build	platform/pcat/vmunix.mk	572	libc/include/	path	$(CC) -nostdinc -Ilibc/include -Iinclude -I. $(DYNAMIC_CFLAGS) \
p023	build	platform/pcat/vmunix.mk	578	libc/include/	path	$(CC) -nostdinc -Ilibc/include -Iinclude -I. $(DYNAMIC_CFLAGS) \
p023	build	platform/pcat/vmunix.mk	583	libc/include/	path	$(CC) -nostdinc -Ilibc/include -Iinclude -I. $(DYNAMIC_CFLAGS) \
p023	build	platform/sparcv9/vmunix.mk	15	libc/include/	path	-Ilibc/include -Isrc/hal/sparcv9 -DHAL_ARCH_SPARCV9 \
p023	build	platform/sparcv9/vmunix.mk	296	libc/include/	path	-Ilibc/include -DHAL_ARCH_SPARCV9 -DKERN_USER_ABI_SPARCV9 \
p023	build	platform/sparcv9/vmunix.mk	333	libc/include/	path	$(SPARCV9_CC) -nostdinc -Ilibc/include -Iinclude -I. \
p023	build	platform/sparcv9/vmunix.mk	360	libc/include/	path	$(SPARCV9_CC) -nostdinc -Ilibc/include -Iinclude -I. \
p023	build	platform/sparcv9/vmunix.mk	366	libc/include/	path	$(SPARCV9_CC) -nostdinc -Ilibc/include -Iinclude -I. \
p023	build	platform/x68k/vmunix.mk	12	libc/include/	path	-Ilibc/include -Isrc/hal/m68k -DHAL_ARCH_M68K -DHAL_BOARD_X68K \
p023	build	platform/x68k/vmunix.mk	25	libc/include/	path	-Ilibc/include -DHAL_ARCH_M68K -DKERN_USER_ABI_M68K \
p023	build	src/softfloat/softfloat.mk	28	libc/include/errno.h	path	$(ZEDBSD_SOFTFLOAT_OBJECTS): libc/include/errno.h
p023	build	src/softfloat/softfloat.mk	33	libc/include/	path	$(ZEDBSD_SOFTFLOAT_CC) -nostdinc -Ilibc/include -Iinclude -I. \
p023	build	src/softfloat/softfloat.mk	40	libc/include/	path	$(ZEDBSD_SOFTFLOAT_CC) -nostdinc -Ilibc/include -Iinclude -I. \
p023	build	src/softfloat/softfloat.mk	46	libc/include/	path	$(ZEDBSD_SOFTFLOAT_CC) -nostdinc -Ilibc/include -Iinclude -I. \
p023	build	src/softfloat/softfloat.mk	68	libc/include/	path	$(HOSTCC) -std=c11 -O2 -Wall -Wextra -Werror -Ilibc/include \
p023	build	src/softfloat/softfloat.mk	81	libc/include/	path	$(HOSTCC) -std=c11 -O2 -Wall -Wextra -Werror -Ilibc/include \
p023	build	src/softfloat/softfloat.mk	94	libc/include/	path	-Ilibc/include -Iinclude -I. tests/math-host-test.c libc/math.c \
p023	build	src/softfloat/softfloat.mk	106	libc/include/	path	$(HOSTCC) -std=c11 -O2 -Wall -Wextra -Werror -Ilibc/include \
p023	build	userland/base/curses/Makefile	10	libc/include/curses.h	path	libc/include/curses.h))
p023	build	userland/base/noct/zedbsd-i386.cmake	41	libc/include/stdint.h	path	libc/include/stdint.h
p023	c-include	bootloader/bios/fat-directory.h	19	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	bootloader/bios/fat-directory.h	20	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	bootloader/include/amd64-handoff.h	128	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	bootloader/uefi/elf64.h	6	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	bootloader/uefi/framebuffer.c	5	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	bootloader/uefi/framebuffer.c	6	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	bootloader/uefi/framebuffer.h	6	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	bootloader/uefi/include/uefi.h	6	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	bootloader/uefi/include/uefi.h	7	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	bootloader/uefi/video.h	7	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	bootloader/uefi/volume-discovery.h	6	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	bootloader/uefi/volume-discovery.h	7	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	bootloader/uefi/zedbsd-config.h	22	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	bootloader/x68k/boot-layout.h	49	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	bootloader/x68k/stage2.c	9	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/boot/parameter-handoff.h	25	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/boot/provenance.h	9	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/drivers/dma.h	15	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/drivers/dma.h	16	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/drivers/dp8390.h	15	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/drivers/dp8390.h	16	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/drivers/gpu-fence.h	16	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/drivers/gpu.h	20	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/drivers/hid/hid-report.h	7	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/drivers/hid/hid-report.h	8	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/drivers/pci-nvme-protocol.h	15	libc/include/errno.h	keep-root libc/include->include	#include <errno.h>
p023	c-include	include/drivers/pci-nvme-protocol.h	16	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/drivers/pci-nvme-protocol.h	17	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/drivers/pci-xhci-capability.h	15	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/drivers/pci-xhci-capability.h	16	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/drivers/pci-xhci-control.h	17	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/drivers/pci-xhci-lifecycle.h	15	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/drivers/pci-xhci-lifecycle.h	16	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/drivers/pci.h	18	libc/include/stdbool.h	keep-root libc/include->include	#include <stdbool.h>
p023	c-include	include/drivers/pci.h	19	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/drivers/pci.h	20	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/drivers/usb-cdc-ncm.h	15	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/drivers/usb-cdc-ncm.h	16	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/drivers/usb-storage-bot.h	15	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/drivers/usb-storage-bot.h	16	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/drivers/usb-storage-scsi.h	15	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/drivers/usb-storage-scsi.h	16	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/drivers/usb-uas.h	15	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/drivers/usb-uas.h	16	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/drivers/usb.h	21	libc/include/stdbool.h	keep-root libc/include->include	#include <stdbool.h>
p023	c-include	include/drivers/usb.h	22	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/drivers/usb.h	23	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/hal/types.h	9	libc/include/stdbool.h	keep-root libc/include->include	#include <stdbool.h>
p023	c-include	include/hal/types.h	10	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/hal/types.h	11	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/atomic.h	12	libc/include/limits.h	keep-root libc/include->include	#include <limits.h>
p023	c-include	include/kern/atomic.h	13	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/backing-claim.h	5	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/boot.h	15	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/kern/boot.h	16	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/buf.h	11	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/kern/buf.h	12	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/cache-memory.h	5	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/kern/cache-memory.h	6	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/cdev.h	18	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/kern/cdev.h	19	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/cdev.h	20	libc/include/sys/types.h	keep-root libc/include->include	#include <sys/types.h>
p023	c-include	include/kern/clock.h	15	libc/include/stdbool.h	keep-root libc/include->include	#include <stdbool.h>
p023	c-include	include/kern/clock.h	16	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/clock.h	17	libc/include/time.h	keep-root libc/include->include	#include <time.h>
p023	c-include	include/kern/cred.h	12	libc/include/sys/types.h	keep-root libc/include->include	#include <sys/types.h>
p023	c-include	include/kern/device-io.h	21	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/disk.h	15	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/kern/disk.h	16	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/disk.h	17	libc/include/sys/types.h	keep-root libc/include->include	#include <sys/types.h>
p023	c-include	include/kern/elf.h	15	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/exec.h	15	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/kern/exec.h	16	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/exec.h	17	libc/include/limits.h	keep-root libc/include->include	#include <limits.h>
p023	c-include	include/kern/exec.h	18	libc/include/sys/stat.h	keep-root libc/include->include	#include <sys/stat.h>
p023	c-include	include/kern/fat.h	14	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/file-backing.h	10	libc/include/errno.h	keep-root libc/include->include	#include <errno.h>
p023	c-include	include/kern/file.h	24	libc/include/fcntl.h	keep-root libc/include->include	#include <fcntl.h>
p023	c-include	include/kern/file.h	25	libc/include/limits.h	keep-root libc/include->include	#include <limits.h>
p023	c-include	include/kern/file.h	26	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/kern/file.h	27	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/handle.h	16	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/inode.h	15	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/kern/inode.h	16	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/inode.h	17	libc/include/sys/stat.h	keep-root libc/include->include	#include <sys/stat.h>
p023	c-include	include/kern/inode.h	18	libc/include/sys/types.h	keep-root libc/include->include	#include <sys/types.h>
p023	c-include	include/kern/input-capability.h	6	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/kern/input-capability.h	7	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/input-device.h	9	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/kern/input-device.h	10	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/input-keymap.h	5	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/input-queue.h	6	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/kern/input-queue.h	7	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/io-context.h	13	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/io-context.h	14	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/kern/io-context.h	15	libc/include/errno.h	keep-root libc/include->include	#include <errno.h>
p023	c-include	include/kern/io-pool.h	11	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/kern/io-pool.h	12	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/irq.h	21	libc/include/stdbool.h	keep-root libc/include->include	#include <stdbool.h>
p023	c-include	include/kern/irq.h	22	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/klog.h	11	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/kern/klog.h	12	libc/include/stdint.h	keep-root libc/include->include	#include <stdint.h>
p023	c-include	include/kern/kmem.h	15	libc/include/stddef.h	keep-root libc/include->include	#include <stddef.h>
p023	c-include	include/kern/mount.h	23	libc/include/limits.h	keep-root libc/include->include	#include <limits.h>
p023	c-include	include/kern/namei.h	18	libc/include/limits.h	keep-root libc/include->include	#include <limits.h>
