old	new
intel_ax211_key_state_init	drv_intel_ax211_key_state_init
intel_ax211_key_state_installed	drv_intel_ax211_key_state_installed
intel_ax211_key_state_removed	drv_intel_ax211_key_state_removed
intel_ax211_key_state_rx_generation	drv_intel_ax211_key_state_rx_generation
intel_ax211_key_state_tx_validate	drv_intel_ax211_key_state_tx_validate
intel_ax211_mac_type_supported	drv_intel_ax211_mac_type_supported
intel_ax211_mmio_apm_init	drv_intel_ax211_mmio_apm_init
intel_ax211_mmio_init	drv_intel_ax211_mmio_init
intel_ax211_mmio_nic_lock	drv_intel_ax211_mmio_nic_lock
intel_ax211_mmio_nic_unlock	drv_intel_ax211_mmio_nic_unlock
intel_ax211_mmio_prepare_card_hw	drv_intel_ax211_mmio_prepare_card_hw
intel_ax211_mmio_prph_read32	drv_intel_ax211_mmio_prph_read32
intel_ax211_mmio_prph_write32	drv_intel_ax211_mmio_prph_write32
intel_ax211_mmio_publish_gen3	drv_intel_ax211_mmio_publish_gen3
intel_ax211_mmio_read_mac	drv_intel_ax211_mmio_read_mac
intel_ax211_mmio_stop	drv_intel_ax211_mmio_stop
intel_ax211_mmio_sw_reset	drv_intel_ax211_mmio_sw_reset
intel_ax211_narrow_command_encode	drv_intel_ax211_narrow_command_encode
intel_ax211_pci_mmio_backend_init	drv_intel_ax211_pci_mmio_backend_init
intel_ax211_pci_mmio_host_ticks_for_us	drv_intel_ax211_pci_mmio_host_ticks_for_us
intel_ax211_pci_mmio_host_ticks_to_us	drv_intel_ax211_pci_mmio_host_ticks_to_us
intel_ax211_pci_mmio_ops	drv_intel_ax211_pci_mmio_ops
intel_ax211_pnvm_inspect	drv_intel_ax211_pnvm_inspect
intel_ax211_pnvm_parse	drv_intel_ax211_pnvm_parse
intel_ax211_protocol_alive_decode	drv_intel_ax211_protocol_alive_decode
intel_ax211_protocol_command_response_validate	drv_intel_ax211_protocol_command_response_validate
intel_ax211_protocol_command_table_parse	drv_intel_ax211_protocol_command_table_parse
intel_ax211_protocol_command_table_validate_api89	drv_intel_ax211_protocol_command_table_validate_api89
intel_ax211_protocol_command_version_lookup	drv_intel_ax211_protocol_command_version_lookup
intel_ax211_protocol_init_complete	drv_intel_ax211_protocol_init_complete
intel_ax211_protocol_nvm_get_info_decode	drv_intel_ax211_protocol_nvm_get_info_decode
intel_ax211_protocol_pnvm_init_complete	drv_intel_ax211_protocol_pnvm_init_complete
intel_ax211_ring_available	drv_intel_ax211_ring_available
intel_ax211_ring_complete	drv_intel_ax211_ring_complete
intel_ax211_ring_init	drv_intel_ax211_ring_init
intel_ax211_ring_reserve	drv_intel_ax211_ring_reserve
intel_ax211_runtime_ack	drv_intel_ax211_runtime_ack
intel_ax211_runtime_api89_validate	drv_intel_ax211_runtime_api89_validate
intel_ax211_runtime_begin	drv_intel_ax211_runtime_begin
intel_ax211_runtime_command_encode	drv_intel_ax211_runtime_command_encode
intel_ax211_runtime_current	drv_intel_ax211_runtime_current
intel_ax211_runtime_expire	drv_intel_ax211_runtime_expire
intel_ax211_runtime_mcc_decode	drv_intel_ax211_runtime_mcc_decode
