path	explanation-source	had-bom	body-sha256	explanation
userland/base/common/lzw.h	generated	no	412bdc63b44bb5015ed802abb4f94a282b1d04b94509741aa2b95f9b2dfce576	Declares shared userland lzw support.
userland/base/common/pager.c	generated	no	1b2c310cd18bdee85db408e213da566b3447c2295d0a554814dc1d855e370975	Implements shared userland pager support.
userland/base/common/pager.h	generated	no	bfee37313c649d65ed7123097840c1f0e0d0dfdd61022f1f13916929315230dc	Declares shared userland pager support.
userland/base/common/sccs.c	generated	no	496dbb605932407f96d63f258dbd102e7b8b07f7de3e17884877ebd65f7f3b98	Implements shared userland sccs support.
userland/base/common/sccs.h	generated	no	2defaceb13f54109315efcccdb4ca7254b4c9428bec680dd1e9886cd8fac0a1e	Declares shared userland sccs support.
userland/base/common/terminfo.c	generated	no	e2184621d699c1e7e1d3d1d09c88d64b4120fcdf4ee4e69c4a77c71f55a6cd7c	Implements shared userland terminfo support.
userland/base/common/terminfo.h	generated	no	2a13a67fedb0d3d5d30a57d95c7644e6ecf59beec420a8ffadffa74105a03580	Declares shared userland terminfo support.
userland/base/common/uucodec.c	generated	no	c25050fc6cee302ae6ad0a332ff08c6de5fbfe0b167e4ab6e8ebeaaea54f67d9	Implements shared userland uucodec support.
userland/base/common/uucodec.h	generated	no	1d1fe83589ac7f4aaf272de275cf5dee35cbfedcc1ddc7f468dde4dad6aa4195	Declares shared userland uucodec support.
userland/base/compress/main.c	generated	no	8127371e4e18a5e69479092e230845b45945b4cde3c8583f3512953e56d54028	Implements the zedBSD compress userland command.
userland/base/cp/main.c	generated	no	00216dab0fa41e7bbe45928e52507640afb895aa6b42f90b7b438951033f0f65	Implements the zedBSD cp userland command.
userland/base/cron/main.c	generated	no	9ccbfd1541fbcaae22b27d16a9f2f2f376e4ccf2afecd7d877564a40240bc047	Implements the zedBSD cron userland command.
userland/base/crontab/main.c	generated	no	1c66b83127b4f5febb6c6c4aa10bc1688678122804a6e910bc0d64de055d1e3d	Implements the zedBSD crontab userland command.
userland/base/csplit/main.c	generated	no	b1ef25b600177ce9e27b44679ac91d8a4ce6d3407cb35c53bbd1b86798bf4ee2	Implements the zedBSD csplit userland command.
userland/base/curses/curses.c	generated	no	2f6dbf6e1c9a47c827f91b195ac811a1e4a87cbd56e3d668d7b3311665dd4791	Implements the zedBSD userland curses component.
userland/base/curses/curses.h	generated	no	0c787917299b6974b3aecb8dee447e1c2fdfc076b5b883058d3f8b1677065f8a	Declares the zedBSD userland curses interface.
userland/base/cut/main.c	generated	no	c278b63379bfe086fd4617f74693117aab462222077c0c4dc838ddc5ae5e3b97	Implements the zedBSD cut userland command.
userland/base/cxref/main.c	generated	no	980bb19deb44051aae12cea84c7c6b60e380c30956d10dc6c08e9369d4c83179	Implements the zedBSD cxref userland command.
userland/base/date/main.c	generated	no	b05b5305d85c0a68d29231410c36c8d683bfb8e62bbc6cfdbc656cde8360ba5b	Implements the zedBSD date userland command.
userland/base/dd/main.c	generated	no	943b3e1d78c3df0933a794144a102b8c28345cf43e1a559eb9b324235b3bb396	Implements the zedBSD dd userland command.
userland/base/deferred-stub/main.c	generated	no	55b6dd8e11e41bc8a4514900687cf7445be112d1744f8432d83da9739ac64be1	Implements the zedBSD deferred stub userland command.
userland/base/df/main.c	generated	no	6d8202a3a4f485295963272e397816214ce661a6b3fe2d8d296592b70591892b	Implements the zedBSD df userland command.
userland/base/dhcpc/main.c	generated	no	3feee5e64a876b6043ed7a7191225cb8c82bf759cf4dbc84c0511220051d2a25	Implements the zedBSD dhcpc userland command.
