name	scope	extension
vkCmdSetDepthBias	VULKAN_ENTRY_DEVICE	0
vkCmdSetBlendConstants	VULKAN_ENTRY_DEVICE	0
vkCmdSetDepthBounds	VULKAN_ENTRY_DEVICE	0
vkCmdSetStencilCompareMask	VULKAN_ENTRY_DEVICE	0
vkCmdSetStencilWriteMask	VULKAN_ENTRY_DEVICE	0
vkCmdSetStencilReference	VULKAN_ENTRY_DEVICE	0
vkCmdBindDescriptorSets	VULKAN_ENTRY_DEVICE	0
vkCmdBindIndexBuffer	VULKAN_ENTRY_DEVICE	0
vkCmdBindVertexBuffers	VULKAN_ENTRY_DEVICE	0
vkCmdDraw	VULKAN_ENTRY_DEVICE	0
vkCmdDrawIndexed	VULKAN_ENTRY_DEVICE	0
vkCmdDrawIndirect	VULKAN_ENTRY_DEVICE	0
vkCmdDrawIndexedIndirect	VULKAN_ENTRY_DEVICE	0
vkCmdDispatch	VULKAN_ENTRY_DEVICE	0
vkCmdDispatchIndirect	VULKAN_ENTRY_DEVICE	0
vkCmdCopyBuffer	VULKAN_ENTRY_DEVICE	0
vkCmdCopyImage	VULKAN_ENTRY_DEVICE	0
vkCmdBlitImage	VULKAN_ENTRY_DEVICE	0
vkCmdCopyBufferToImage	VULKAN_ENTRY_DEVICE	0
vkCmdCopyImageToBuffer	VULKAN_ENTRY_DEVICE	0
vkCmdUpdateBuffer	VULKAN_ENTRY_DEVICE	0
vkCmdFillBuffer	VULKAN_ENTRY_DEVICE	0
vkCmdClearColorImage	VULKAN_ENTRY_DEVICE	0
vkCmdClearDepthStencilImage	VULKAN_ENTRY_DEVICE	0
vkCmdClearAttachments	VULKAN_ENTRY_DEVICE	0
vkCmdResolveImage	VULKAN_ENTRY_DEVICE	0
vkCmdSetEvent	VULKAN_ENTRY_DEVICE	0
vkCmdResetEvent	VULKAN_ENTRY_DEVICE	0
vkCmdWaitEvents	VULKAN_ENTRY_DEVICE	0
vkCmdPipelineBarrier	VULKAN_ENTRY_DEVICE	0
vkCmdBeginQuery	VULKAN_ENTRY_DEVICE	0
vkCmdEndQuery	VULKAN_ENTRY_DEVICE	0
vkCmdResetQueryPool	VULKAN_ENTRY_DEVICE	0
vkCmdWriteTimestamp	VULKAN_ENTRY_DEVICE	0
vkCmdCopyQueryPoolResults	VULKAN_ENTRY_DEVICE	0
vkCmdPushConstants	VULKAN_ENTRY_DEVICE	0
vkCmdBeginRenderPass	VULKAN_ENTRY_DEVICE	0
vkCmdNextSubpass	VULKAN_ENTRY_DEVICE	0
vkCmdEndRenderPass	VULKAN_ENTRY_DEVICE	0
vkCmdExecuteCommands	VULKAN_ENTRY_DEVICE	0
vkDestroySurfaceKHR	VULKAN_ENTRY_INSTANCE	VULKAN_INSTANCE_SURFACE
vkGetPhysicalDeviceSurfaceSupportKHR	VULKAN_ENTRY_INSTANCE	VULKAN_INSTANCE_SURFACE
vkGetPhysicalDeviceSurfaceCapabilitiesKHR	VULKAN_ENTRY_INSTANCE	VULKAN_INSTANCE_SURFACE
vkGetPhysicalDeviceSurfaceFormatsKHR	VULKAN_ENTRY_INSTANCE	VULKAN_INSTANCE_SURFACE
vkGetPhysicalDeviceSurfacePresentModesKHR	VULKAN_ENTRY_INSTANCE	VULKAN_INSTANCE_SURFACE
vkCreateSwapchainKHR	VULKAN_ENTRY_DEVICE	VULKAN_DEVICE_SWAPCHAIN
vkDestroySwapchainKHR	VULKAN_ENTRY_DEVICE	VULKAN_DEVICE_SWAPCHAIN
vkGetSwapchainImagesKHR	VULKAN_ENTRY_DEVICE	VULKAN_DEVICE_SWAPCHAIN
vkAcquireNextImageKHR	VULKAN_ENTRY_DEVICE	VULKAN_DEVICE_SWAPCHAIN
vkQueuePresentKHR	VULKAN_ENTRY_DEVICE	VULKAN_DEVICE_SWAPCHAIN
vkGetPhysicalDeviceDisplayPropertiesKHR	VULKAN_ENTRY_INSTANCE	VULKAN_INSTANCE_DISPLAY
vkGetPhysicalDeviceDisplayPlanePropertiesKHR	VULKAN_ENTRY_INSTANCE	VULKAN_INSTANCE_DISPLAY
vkGetDisplayPlaneSupportedDisplaysKHR	VULKAN_ENTRY_INSTANCE	VULKAN_INSTANCE_DISPLAY
vkGetDisplayModePropertiesKHR	VULKAN_ENTRY_INSTANCE	VULKAN_INSTANCE_DISPLAY
vkCreateDisplayModeKHR	VULKAN_ENTRY_INSTANCE	VULKAN_INSTANCE_DISPLAY
vkGetDisplayPlaneCapabilitiesKHR	VULKAN_ENTRY_INSTANCE	VULKAN_INSTANCE_DISPLAY
vkCreateDisplayPlaneSurfaceKHR	VULKAN_ENTRY_INSTANCE	VULKAN_INSTANCE_DISPLAY
vkCreateSharedSwapchainsKHR	VULKAN_ENTRY_DEVICE	VULKAN_DEVICE_DISPLAY_SWAPCHAIN
